#1:N	#2:f1	#3:f2	#4:f12	#5:score	#6:label	#7:lemma	#8:pos
58076404	581	20897	8	0.137750	2010	werfen	VVFIN
58076404	581	30725	7	0.120531	2010	Politik	NN
58076404	581	218227	6	0.103312	2010	neu	ADJA
58076404	581	9237	6	0.103312	2010	Seehofer	NE
58076404	581	21539	6	0.103312	2010	Grüne	NN
58076404	581	77620	5	0.086093	2010	eigen	ADJA
58076404	581	8963	5	0.086093	2010	helfen	VVFIN
86102360	583	779516	12	0.139369	2011	sagen	VVFIN
86102360	583	29448	7	0.081299	2011	werfen	VVFIN
86102360	583	336810	5	0.058070	2011	neu	ADJA
102792084	621	7140	13	0.126469	2012	rein	ADJA
102792084	621	954326	12	0.116741	2012	sagen	VVFIN
102792084	621	396429	9	0.087555	2012	neu	ADJA
102792084	621	4045	7	0.068099	2012	billig	ADJA
102792084	621	36455	6	0.058370	2012	werfen	VVFIN
102792084	621	53246	5	0.048642	2012	französisch	ADJA
102792084	621	2220	5	0.048642	2012	flüchten	VVFIN
102792084	621	5651	5	0.048642	2012	Not	NN
102792084	621	21602	5	0.048642	2012	Hollande	NE
102792084	621	13837	5	0.048642	2012	vorwerfen	VVPP
102792084	621	18559	5	0.048642	2012	Gabriel	NE
102792084	621	136728	5	0.048642	2012	Präsident	NN
102285806	566	34068	14	0.136871	2013	werfen	VVFIN
102285806	566	588	9	0.087989	2013	Nationalismus	NN
102285806	566	96103	6	0.058659	2013	Partei	NN
102285806	566	128649	5	0.048883	2013	machen	VVFIN
102285806	566	79557	5	0.048883	2013	politisch	ADJA
102285806	566	93107	5	0.048883	2013	Europa	NE
102285806	566	120747	5	0.048883	2013	Sozialdemokratische_Partei_Deutschlands	NE
102285806	566	227395	5	0.048883	2013	Land	NN
56661206	455	16921	10	0.176488	2014	Christlich-Soziale_Union	NE
56661206	455	23540	9	0.158839	2014	werfen	VVFIN
56661206	455	48311	8	0.141190	2014	Sozialdemokratische_Partei_Deutschlands	NE
56661206	455	22966	8	0.141190	2014	Opposition	NN
56661206	455	3538	7	0.123541	2014	vermeintlich	ADJA
56661206	455	17658	7	0.123541	2014	Vorwurf	NN
56661206	455	43887	5	0.088244	2014	politisch	ADJA
84508452	540	27549	8	0.094665	2015	werfen	VVFIN
84508452	540	54620	7	0.082832	2015	politisch	ADJA
84508452	540	86281	7	0.082832	2015	Europa	NE
84508452	540	3102	5	0.059166	2015	billig	ADJA
84508452	540	9397	5	0.059166	2015	Afd	NN
84508452	540	38801	5	0.059166	2015	Tsipras	NE
68946528	1003	794	14	0.203056	2016	Nationalismus	NN
68946528	1003	66460	12	0.174048	2016	Europa	NE
68946528	1003	21141	11	0.159544	2016	Afd	NN
68946528	1003	11114	11	0.159544	2016	Demokratie	NN
68946528	1003	632471	11	0.159544	2016	sagen	VVFIN
68946528	1003	143015	9	0.130536	2016	Land	NN
68946528	1003	1003	8	0.116032	2016	Populismus	NN
68946528	1003	45211	8	0.116032	2016	politisch	ADJA
68946528	1003	67606	7	0.101528	2016	Christlich_Demokratische_Union	NE
68946528	1003	27177	7	0.101528	2016	Politik	NN
68946528	1003	22676	7	0.101528	2016	werfen	VVFIN
68946528	1003	69179	7	0.101528	2016	Merkel	NE
68946528	1003	16197	6	0.087024	2016	Antwort	NN
68946528	1003	118	6	0.087024	2016	Demagogie	NN
68946528	1003	65870	6	0.087024	2016	Partei	NN
68946528	1003	104	6	0.087024	2016	demagogisch	ADJA
68946528	1003	224184	6	0.087024	2016	neu	ADJA
68946528	1003	14373	5	0.072520	2016	Form	NN
68946528	1003	15068	5	0.072520	2016	recht	ADJA
68946528	1003	4181	5	0.072520	2016	zunehmend	ADJA
23952564	1504	25275	18	0.751485	2017	Europa	NE
23952564	1504	8206	15	0.626238	2017	recht	ADJA
23952564	1504	41359	15	0.626238	2017	politisch	ADJA
23952564	1504	94194	15	0.626238	2017	Zeit	NN
23952564	1504	10991	10	0.417492	2017	Demokratie	NN
23952564	1504	82237	10	0.417492	2017	neu	ADJA
23952564	1504	8186	9	0.375743	2017	Volk	NN
23952564	1504	38475	9	0.375743	2017	Frage	NN
23952564	1504	1472	8	0.333993	2017	Populismus	NN
23952564	1504	12424	8	0.333993	2017	Frankreich	NE
23952564	1504	47272	8	0.333993	2017	eigen	ADJA
23952564	1504	7889	8	0.333993	2017	link	ADJA
23952564	1504	6161	7	0.292244	2017	liberal	ADJA
23952564	1504	8848	7	0.292244	2017	Antwort	NN
23952564	1504	2902	7	0.292244	2017	Aufstieg	NN
23952564	1504	104841	7	0.292244	2017	geben	VVFIN
23952564	1504	31440	6	0.250495	2017	finden	VVFIN
23952564	1504	23670	6	0.250495	2017	Politik	NN
23952564	1504	60426	6	0.250495	2017	Deutschland	NE
23952564	1504	91705	6	0.250495	2017	Mensch	NN
